,x_tsne,y_tsne,row_id,x_1_topic_probability,1_topic,2_topic,3_topic,4_topic,5_topic,6_topic,7_topic
0,42.332474,36.007877,0,0.57424974,0.014902098,0.0,0.0,0.033799615,0.0,0.36920446,0.57425404
1,57.001076,-11.384177,1,0.76942086,0.0,0.117913425,0.0,0.02692008,0.07004247,0.769419,0.0
2,26.233328,-56.019012,2,0.59945655,0.3809339,0.0,0.0,0.0,0.0,0.59943736,0.0
3,41.812828,38.844757,3,0.610242,0.0145692015,0.0,0.0,0.0,0.0,0.34990475,0.61024827
4,36.617435,25.838469,4,0.48220694,0.07842884,0.0,0.0,0.0,0.2626838,0.16466178,0.4822038
5,-13.383992,19.064693,5,0.37829912,0.24400318,0.378307,0.0,0.040632404,0.10907154,0.0,0.22200242
6,57.38336,1.1645651,6,0.7734123,0.0,0.0,0.0,0.13071884,0.0,0.773394,0.08377621
7,44.82408,19.9681,7,0.56239384,0.0,0.0,0.0,0.02991704,0.0856199,0.5623913,0.31164408
8,47.20014,-10.712867,8,0.5953508,0.127082,0.0,0.10677187,0.0,0.09622534,0.5953901,0.06917955
9,32.15251,-0.9729804,9,0.51316625,0.16177607,0.0,0.0,0.0,0.07871061,0.51319563,0.23854658
10,24.60803,-3.2175503,10,0.3671471,0.2009592,0.06601078,0.0,0.1738972,0.09119794,0.36714378,0.097219765
11,33.512806,-12.460375,11,0.5514206,0.15209779,0.103267215,0.0,0.028669091,0.0,0.5514215,0.16003862
12,68.90973,-28.414555,12,0.9352719,0.016806776,0.0,0.0,0.0,0.0,0.9352748,0.018792426
13,-20.588211,15.4454155,13,0.56394655,0.32695895,0.5639537,0.0,0.053010672,0.0,0.046136577,0.0
14,67.56483,0.019407513,14,0.7717466,0.054288436,0.029500484,0.02687939,0.02341773,0.028387733,0.77174526,0.065781
15,49.235455,-34.847397,15,0.7793416,0.13487248,0.0,0.07354877,0.0,0.0,0.77933514,0.0
16,18.631405,-12.050785,16,0.44152525,0.44152173,0.10940003,0.0,0.0,0.0,0.38557583,0.05658794
17,59.88472,-19.45921,17,0.8646619,0.0,0.0,0.0,0.036960132,0.0759301,0.8646489,0.0
18,56.35265,-22.424377,18,0.8027268,0.06476015,0.0,0.0,0.0,0.10936973,0.80270505,0.011136131
19,15.692337,-42.842403,19,0.4907444,0.49074948,0.0,0.0,0.0,0.0,0.4882135,0.0
20,18.121471,0.87057394,20,0.39009085,0.39009044,0.0,0.0,0.0,0.0,0.34789857,0.25388363
21,22.720676,29.757378,21,0.4805532,0.053446665,0.0,0.0,0.17962715,0.0,0.2797371,0.4805545
22,48.05214,-8.670455,22,0.6251252,0.09045029,0.04647673,0.042423222,0.036881708,0.044883944,0.6250783,0.113805756
23,52.262424,25.852938,23,0.5638892,0.016470455,0.0,0.0,0.0,0.0,0.56384563,0.38921213
24,-17.177359,-10.111415,24,0.4078005,0.1339709,0.15562198,0.0,0.0,0.2926696,0.0,0.4077853
25,-21.073946,9.67013,25,0.38266242,0.2095805,0.38231683,0.0,0.09554512,0.1301236,0.028683387,0.15130824
26,10.821833,18.934738,26,0.4684744,0.23276928,0.0,0.0,0.08722175,0.0,0.18902688,0.4702455
27,2.7405965,-19.837381,27,0.6105575,0.61055106,0.0,0.0,0.0,0.19788714,0.16330157,0.013392812
